index,job_duration
0,80
1,239
2,28
3,15
4,50
5,63
6,45
7,40
8,635
9,197
10,533
11,74
12,20
13,427
14,112
15,59
16,1879
17,52
18,171
19,59
20,30
21,59
22,291
23,47
24,260
25,5
26,319
27,11
28,120
29,106
30,25
31,47
32,59
33,40
34,886
35,22
36,15
37,16
38,281
39,117
40,26
41,81
42,14
43,8
44,95
45,157
46,52
47,37
48,9
49,31
50,178
51,79
52,508
53,397
54,68
55,16
56,96
57,140
58,130
59,103
60,119
61,62
62,222
63,494
64,16
65,104
66,639
67,121
68,79
69,40
70,141
71,21
72,12
73,39
74,268
75,188
76,33
77,22
78,111
79,20
80,542
81,112
82,300
83,44
84,119
85,20
86,127
87,30
88,108
89,30
90,44
91,10
92,501
93,282
94,16
95,175
96,558
97,17
98,331
99,68
100,68
101,7
102,1664
103,35
104,496
105,207
106,86
107,1272
108,20
109,176
110,271
111,59
112,28
113,27
114,80
115,87
116,1050
117,18
118,175
119,21
120,89
121,118
122,116
123,658
124,159
125,16
126,159
127,11
128,44
129,21
130,611
131,29
132,18
133,121
134,187
135,58
136,9
137,205
138,46
139,93
140,179
141,26
142,140
143,216
144,9
145,18
146,89
147,113
148,16
149,179
150,16
151,256
152,604
153,75
154,255
155,10
156,43
157,354
158,33
159,299
160,62
161,48
162,13
163,44
164,449
165,18
166,90
167,23
168,11
169,37
170,46
171,43
172,63
173,204
174,19
175,30
176,28
177,345
178,19
179,94
180,341
181,206
182,22
183,23
184,77
185,286
186,26
187,124
188,49
189,13
190,59
191,241
192,19
193,20
194,33
195,19
196,6
197,22
198,194
199,20
200,88
201,92
202,52
203,146
204,217
205,63
206,48
207,121
208,14
209,428
210,37
211,360
212,50
213,121
214,22
215,65
216,9
217,59
218,51
219,120
220,20
221,7
222,25
223,1938
224,115
225,21
226,16
227,63
228,11
229,75
230,14
231,50
232,32
233,51
234,75
235,161
236,27
237,121
238,58
239,78
240,222
241,77
242,120
243,19
244,240
245,106
246,27
247,17
248,122
249,33
250,27
251,19
252,288
253,22
254,444
255,34
256,23
257,4
258,44
259,38
260,16
261,288
262,610
263,22
264,40
265,49
266,95
267,47
268,277
269,8
270,191
271,195
272,480
273,214
274,15
275,251
276,74
277,416
278,66
279,268
280,155
281,541
282,70
283,117
284,14
285,22
286,6
287,179
288,51
289,18
290,66
291,65
292,300
293,491
294,101
295,235
296,190
297,7
298,11
299,136
300,81
301,18
302,35
303,16
304,157
305,10
306,26
307,23
308,41
309,364
310,110
311,133
312,31
313,396
314,33
315,53
316,28
317,237
318,201
319,261
320,26
321,58
322,17
323,119
324,75
325,19
326,44
327,23
328,43
329,211
330,50
331,120
332,10
333,271
334,1920
335,172
336,39
337,22
338,253
339,59
340,143
341,9
342,44
343,123
344,79
345,16
346,54
347,86
348,180
349,26
350,30
351,17
352,36
353,40
354,11
355,7
356,27
357,59
358,108
359,1701
360,202
361,45
362,160
363,51
364,19
365,38
366,190
367,1235
368,8
369,22
370,61
371,41
372,33
373,9
374,1611
375,280
376,87
377,47
378,51
379,31
380,104
381,73
382,60
383,91
384,20
385,28
386,42
387,282
388,20
389,62
390,11
391,15
392,21
393,38
394,59
395,19
396,10
397,85
398,34
399,38
400,183
401,167
402,13
403,225
404,192
405,40
406,104
407,11
408,87
409,60
410,1070
411,99
412,77
413,21
414,149
415,254
416,72
417,60
418,305
419,61
420,27
421,55
422,2152
423,59
424,82
425,221
426,46
427,32
428,198
429,73
430,21
431,4
432,20
433,67
434,22
435,133
436,138
437,79
438,1883
439,151
440,177
441,222
442,374
443,300
444,54
445,457
446,2408
447,14
448,81
449,122
450,6
451,92
452,11
453,44
454,31
455,29
456,165
457,267
458,59
459,28
460,133
461,15
462,59
463,14
464,154
465,19
466,21
467,29
468,245
469,101
470,84
471,91
472,32
473,35
474,24
475,259
476,32
477,22
478,16
479,117
480,33
481,60
482,87
483,314
484,121
485,28
486,30
487,90
488,63
489,59
490,88
491,209
492,299
493,19
494,1833
495,101
496,20
497,153
498,121
499,15
500,44
501,28
502,42
503,140
504,180
505,9
506,119
507,21
508,119
509,374
510,19
511,2449
512,78
513,121
514,60
515,11
516,19
517,399
518,19
519,51
520,13
521,68
522,107
523,105
524,19
525,225
526,15
527,237
528,58
529,78
530,121
531,48
532,514
533,27
534,148
535,8
536,76
537,85
538,82
539,383
540,64
541,18
542,19
543,85
544,10
545,15
546,29
547,8
548,42
549,64
550,47
551,26
552,318
553,1663
554,130
555,27
556,150
557,115
558,25
559,46
560,169
561,23
562,79
563,8
564,19
565,31
566,93
567,212
568,11
569,15
570,6
571,480
572,501
573,49
574,43
575,20
576,26
577,52
578,159
579,226
580,18
581,74
582,1148
583,161
584,24
585,58
586,18
587,184
588,106
589,173
590,186
591,1234
592,305
593,46
594,197
595,22
596,49
597,42
598,50
599,282
600,203
601,28
602,205
603,127
604,25
605,837
606,62
607,166
608,10
609,16
610,97
611,62
612,119
613,242
614,85
615,47
616,181
617,32
618,18
619,42
620,61
621,241
622,180
623,41
624,72
625,27
626,35
627,141
628,103
629,163
630,12
631,59
632,54
633,60
634,35
635,1483
636,602
637,188
638,104
639,27
640,309
641,19
642,3
643,186
644,36
645,90
646,1966
647,358
648,123
649,157
650,77
651,119
652,12
653,10
654,183
655,13
656,39
657,28
658,1920
659,18
660,121
661,440
662,48
